cell_type	colour	class	indications
T.cells.CD8_normal_Newman15	cyan2	Subtype	Mel,OvCa
T.cells.CD4.naive_normal_Newman15	steelblue1	Subtype	Mel,OvCa
T.cells.memory.resting_normal_Newman15	dodgerblue3	Subtype	Mel,OvCa
T.cells.memory.activated_normal_Newman15	violetred3	Subtype	Mel,OvCa
T.cells.regulatory_normal_Newman15	orchid3	Subtype	Mel,OvCa
T.cells.gamma.delta_normal_Newman15	slateblue3	Subtype	Mel,OvCa
Tcell.CD8.early.activated_melanoma_Feldman18	cadetblue2	Subtype	Mel
T.cell.memory.effector_melanoma_Feldman18	plum1	Subtype	Mel
T.cell.CD8.exhausted_melanoma_Feldman18	mediumpurple1	Subtype	Mel
NK.cells.resting_normal_Newman15	darksalmon	Subtype	Mel,OvCa
NK.cells.activated_normal_Newman15	deeppink4	Subtype	Mel,OvCa
B.cells.naive_normal_Newman15	chartreuse3	Subtype	Mel,OvCa
B.cells.memory_normal_Newman15	darkseagreen1	Subtype	Mel,OvCa
Plasma.cells_normal_Newman15	darkcyan	Subtype	Mel,OvCa
B.cells_melanoma_Tirosh16	green4	Major	Mel
Melanoma.melanocytic_melanoma_Tirosh16	red2	Major	Mel
Melanoma.mesenchymal_melanoma_literature	deeppink	Major	Mel
CAFs_melanoma_Tirosh16	chocolate1	Major	Mel
Endothelial.cells_melanoma_Tirosh16	magenta	Major	Mel
T.cells_melanoma_Tirosh16	blue2	Major	Mel
Macrophages_melanoma_Tirosh16	chocolate4	Major	Mel
Dendritic.cells_normal_Newman15.MERGED	yellow	Major	Mel
M1.Macrophages_normal_literature	yellow3	Subtype	Mel,OvCa
M2.Macrophages_normal_literature	wheat	Subtype	Mel,OvCa
TAM.Macrophages_normal_literature	lightsalmon	Subtype	Mel,OvCa
TCRpos.Macrophages_normal_literature	gold	Subtype	Mel,OvCa
CD169pos.Macrophages_normal_literature	darkgoldenrod3	Subtype	Mel,OvCa
Plasmacytoid.dendritic.cell_melanoma_classifier.curated	darkolivegreen1	Subtype	Mel,OvCa
